# Server version 0.08 running on 10.0.1.7:8123
# Game ID: 87
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 300000
# First Move Timeout: 30000
# Date: Fri Mar 31 09:15:44 EDT 2017
# Player 1: Player-0, 'Human', running on 10.0.1.7
# Player 2: Player-1, '260587675', running on 10.0.1.7
START Player-0 Human
START Player-1 260587675
PIT 0 0
PIT 1 0
PIT 0 5
PIT 1 0
PIT 0 1
PIT 1 0
PIT 0 3
PIT 1 0
PIT 0 4
PIT 1 0
PIT 0 0
PIT 0 5
PIT 1 0
PIT 0 2
PIT 1 0
PIT 0 4
PIT 0 3
PIT 1 1
PIT 0 5
PIT 1 1
PIT 0 4
PIT 1 0
PIT 0 3
PIT 1 1
PIT 0 4
PIT 1 2
PIT 0 2
PIT 1 0
PIT 0 4
PIT 1 2
PIT 1 3
PIT 0 5
PIT 1 1
PIT 0 3
PIT 1 3
PIT 1 4
PIT 0 5
PIT 1 1
GAMEOVER WINNER 1         Player-0 score: 20  Player-1 score: 52
# Game ended: Fri Mar 31 09:16:43 EDT 2017
